,Country,Social TF Programs,Wealth-ranking,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
296,Panama,1,2,2009,7.033740044,9.929429054,0.905028522,67.33999634,0.721393645,0.012687565,0.889423907,0.839467406,0.144200027,0.602612615,Central America and Caribbean,17.5,20.5,122.8365,6.14,85,76,26.4,85,85,0.4,9840,3.58,2,1.9,9.3,0,1,76.6
411,Uruguay,1,2,2009,6.296222687,9.795257568,0.923861444,67.01999664,0.82504946,-0.126018703,0.543947875,0.722020388,0.254544437,0.655707836,South America,9.7,11.2,113.037,6.45,95,93,26.6,95,95,0.23,12496,3.35,1.5,1.5,8.4,0,1,76.6
399,United Arab Emirates,0,1,2012,7.217766762,10.95761395,0.855876803,65.22000122,0.919792593,,,0.719470143,0.223985344,,Middle East,7,8.2,71.693,1.78,96,96,28.1,96,96,0.13,33997,9.14,5.1,5,10.2,0,1,76.7
318,Poland,0,2,2011,5.646204948,10.13158989,0.904578626,67.27999878,0.868148923,-0.068704925,0.907953143,0.658624232,0.223810226,0.27237618,European Union,4.9,5.7,126.5725,10.24,98,95,26.2,96,99,0.08,11369,38.06,2,2.2,12.3,1,0,76.7
319,Poland,0,2,2012,5.87593174,10.14475441,0.935923874,67.45999908,0.811301708,-0.028189898,0.887895823,0.710892498,0.266746789,0.268628746,European Union,4.7,5.4,124.316,10.21,97,95,26.3,95,99,0.08,11520,38.06,2,2.1,11.7,1,0,76.7
98,Croatia,0,2,2011,5.385372639,10.10903072,0.789738715,67.41999817,0.516932428,-0.200818419,0.976777494,0.55185771,0.272979707,,European Union,4.5,5.3,99.7905,11.01,97,98,26.8,96,96,0.02,11780,4.28,1.6,1.5,11,1,0,76.8
297,Panama,1,2,2010,7.3214674,9.968494415,0.92753309,67.5,0.754523695,-0.01030933,0.87982583,0.840976536,0.146368757,0.536404312,Central America and Caribbean,17,19.9,121.6565,6.1,94,73,26.5,95,94,0.4,10232,3.64,2,1.9,9.3,0,1,76.8
412,Uruguay,1,2,2010,6.062010765,9.867535591,0.893039763,67.09999847,0.832241356,-0.165847778,0.47137624,0.738478601,0.231179178,0.728630126,South America,9.3,10.7,111.704,5.99,95,92,26.7,95,95,0.24,13433,3.36,1.5,1.5,8.4,0,1,76.8
400,United Arab Emirates,0,1,2013,6.620951176,11.00076771,0.863715768,65.27999878,0.93597883,,,,0.29111284,,Middle East,6.8,8,70.6545,1.86,98,98,28.2,98,98,0.13,35496,9.2,5.2,5,10.3,0,1,76.9
8,Albania,0,2,2011,5.867421627,9.31043911,0.759433806,67.87999725,0.487496257,-0.204296395,0.877002597,0.565758884,0.256576508,,Rest of Europe,10.8,12.1,80.349,5.03,99,99,26.2,99,99,0.03,3678,2.91,1.4,1.5,9.3,0,1,76.9
99,Croatia,0,2,2012,6.027634621,10.08906746,0.775817871,67.54000092,0.541909754,-0.245456591,0.923860013,0.571653247,0.271040529,0.311118603,European Union,4.4,5.2,98.132,10.58,98,97,26.9,96,96,0.02,11547,4.27,1.5,1.5,11,1,0,76.9
413,Uruguay,1,2,2011,6.554047108,9.914999962,0.891282439,67.18000031,0.851441562,-0.087857969,0.556286037,0.702420473,0.252250046,0.631276906,South America,8.9,10.3,110.371,6.02,95,93,26.8,95,95,0.23,14086,3.37,1.5,1.5,8.4,0,1,76.9
320,Poland,0,2,2013,5.746131897,10.15655231,0.911934912,67.63999939,0.775931358,-0.138638377,0.915677428,0.674865067,0.241980955,0.163588136,European Union,4.5,5.2,119.573,10.8,96,93,26.4,95,99,0.08,11656,38.04,2,2.1,12.1,1,0,77
298,Panama,1,2,2011,7.24808073,10.05831623,0.876284182,67.66000366,0.829012871,0.007102657,0.839684486,0.852716744,0.179641321,0.461056739,Central America and Caribbean,16.5,19.3,120.477,6.16,87,81,26.5,91,87,0.4,11194,3.71,2,1.9,9.3,0,1,77
414,Uruguay,1,2,2012,6.449728489,9.946791649,0.864693701,67.26000214,0.870590031,0.05923273,0.615349591,0.691910923,0.214202747,0.584287286,South America,8.6,10,109.0375,6.55,95,93,26.9,95,95,0.24,14541,3.38,1.5,1.5,8.5,0,1,77
100,Croatia,0,2,2013,5.885462761,10.08821487,0.751262069,67.66000366,0.626699686,-0.207171649,0.936059833,0.554081142,0.284729958,0.257140577,European Union,4.3,5.1,95.4975,10.39,96,97,27,96,96,0.02,11537,4.26,1.5,1.5,11,1,0,77.1
415,Uruguay,1,2,2013,6.444464684,9.989032745,0.917279661,67.33999634,0.888278008,-0.051038645,0.585632265,0.742915869,0.253228515,0.524399817,South America,8.3,9.7,107.92,6.42,94,92,27,94,94,0.26,15168,3.39,1.5,1.4,8.5,0,1,77.1
299,Panama,1,2,2012,6.859835625,10.13445282,0.89739114,67.81999969,0.783182502,-0.003747593,0.795796633,0.83766222,0.206641346,0.361556232,Central America and Caribbean,16,18.7,119.297,6.21,85,72,26.6,87,85,0.4,12080,3.77,1.9,1.9,9.5,0,1,77.2
9,Albania,0,2,2012,5.510124207,9.326163292,0.784501791,68.16000366,0.601512134,-0.168579251,0.847675204,0.553473175,0.271393239,0.364893705,Rest of Europe,10,11.2,79.762,4.43,99,99,26.3,99,99,0.03,3736,2.9,1.3,1.4,9.6,0,1,77.3
300,Panama,1,2,2013,6.86648035,10.18416595,0.895719826,67.98000336,0.811337948,0.01633174,0.814464629,0.859786928,0.225745514,0.418275893,Central America and Caribbean,15.5,18.1,117.765,6.21,80,68,26.7,81,80,0.4,12695,3.84,1.9,1.9,9.7,0,1,77.4
10,Albania,0,2,2013,4.550647736,9.337965965,0.759476721,68.44000244,0.631830275,-0.126937956,0.862904966,0.54075098,0.338378578,0.338094711,Rest of Europe,9.3,10.4,78.243,4.28,99,99,26.4,99,99,0.03,3781,2.9,1.3,1.4,9.7,0,1,77.6
